,runstring,instability_time,shadow_instability_time,Stable,Mstar,Z12,Z23,mu1,mu2,mu3,e1,e2,e3,h1,h2,h3,k1,k2,k3,ecom,spockprob
0,0000000.bin,192929671.04382068,1000000000.0000002,False,0.907,0.006058206104899282,0.11142605476614784,2.6904018141e-05,1.1535417894e-05,1.882154274e-06,0.07964322355638428,0.07005938750480248,0.11159394858518368,0.04277441000000023,0.04415383999999971,-0.1045229000000006,0.06718178999999988,0.05439445,0.039091849999999914,0.07202489095873947,0.7536805868148804
1,0000001.bin,6128829.768869538,20305576.53412951,False,0.907,0.006180612043800599,0.13533915667774135,2.3515417925999998e-05,1.2635494871999999e-05,6.64455792e-07,0.04979096487518427,0.03653077167216727,0.14105424046694942,-0.025819930000000234,-0.01692594000000031,0.09408490999999955,0.04257313000000026,0.03237298000000013,-0.1050919999999999,0.0418327763422809,0.8044654130935669
2,0000002.bin,999000000.016965,999000000.016965,True,0.907,0.00602357541900859,0.13820072943310702,2.3425613210999997e-05,8.721850137e-06,1.9117098000000002e-07,0.09466107166637454,0.07647269986446474,0.2234728582170105,-0.07432152000000004,-0.06040538000000015,-0.21971824000000015,0.05862618999999991,0.04689630999999988,0.04079232000000007,0.09036784579857306,0.676083505153656
3,0000003.bin,15509875.077412272,1625084.1306701354,False,0.907,0.005824620559290784,0.08968339660262349,2.0378012655e-05,1.0983196224e-05,1.95729534e-07,0.1026289273426692,0.0852899929247365,0.046210010831269216,-0.10142829999999992,-0.08484954000000004,0.0450599800000002,0.01565236999999968,0.008656699999999726,0.01024516000000002,0.09566243893028681,0.9216592311859131
4,0000004.bin,1246694.2473336223,1763932.6996089998,False,0.907,0.006627823891911675,0.12543086274962012,2.5809953169e-05,1.6196677496999998e-05,6.051045000000001e-07,0.07203052716650205,0.07061850298471355,0.1012048399692197,0.07195360999999992,0.07053613999999998,-0.10091623000000033,0.003327890000000087,-0.0034096799999998257,0.007637680000000117,0.06896497936893044,0.8304874300956726
5,0000005.bin,999000000.0128274,999000000.0128274,True,0.907,0.0059172561778176565,0.13065411030355986,2.3898039165e-05,1.0784322549e-05,8.360081729999999e-07,0.02023198885862195,0.023853200872967054,0.1601902734199829,-0.00247972999999982,0.0034106900000002585,-0.16008996999999833,-0.02007945000000009,-0.02360810000000031,-0.005667910000036639,0.021271872923539267,0.9083802103996277
6,0000006.bin,3739024.0964133595,682684.5001871904,False,0.907,0.006291318429528447,0.13759297814384633,2.7467419980000006e-05,1.0910193294000001e-05,1.0132242119999998e-06,0.09277720601735114,0.07982621490645796,0.15691408696135165,0.027171059999996625,0.030690380000000243,-0.14767306999999916,0.08870932000000113,0.07369073999999996,0.05305369999999978,0.08691163237785691,0.3611255884170532
7,0000007.bin,1000000000.0000002,999999999.9999996,True,0.907,0.006203423564836077,0.08849035263888637,2.3806495713e-05,1.0811046245999999e-05,1.3967853899999998e-07,0.0832712459797529,0.06714147394929974,0.14903187660474004,-0.07993531000000012,-0.06545202999999997,-0.0978230200000004,0.023333379999999897,0.014966940000000005,0.11243289999999992,0.07839221928594023,0.9045237898826599
8,0000008.bin,440253.85185597936,1104267.8830731628,False,0.907,0.005418815987189989,0.14584925679862734,1.860793935e-05,8.592120537e-06,1.808331525e-06,0.16097040254404457,0.1398715065289871,0.08193711719363822,-0.1584026900000002,-0.1364443099999999,0.07409237999999999,-0.02863665999999964,-0.0307731800000001,-0.034985860000000084,0.14057125132099502,0.3871552348136902
9,0000009.bin,999000000.0170847,999000000.0170847,True,0.907,0.005815300997246295,0.0793868858290111,1.9844941116e-05,1.0992103122000001e-05,1.8694696020000001e-06,0.1573582106368083,0.13301950634221454,0.202332401853815,-0.13767442000000035,-0.11718227999999982,-0.18896943999999993,0.0762060400000002,0.06294840999999998,0.07231149000000002,0.15164788333574844,0.8360915780067444
