,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
0,0.0,-0.001272079724654993,-0.0006142332375355438,0.022555953275504522,0.015490052049440416,0.048132536485143505,0.03341671143407383,0.03529603888453684,0.0014126108083869805,0.059775854261317214,5.573000556564268e-06,9.13403549578641e-06,9.872320721405501e-06,0.027508443221449852
1,1.0,-0.022736501354279386,-0.010989248721856434,0.019267881607785472,0.0034545318501811727,0.029562886429421877,0.01662464014036996,0.0030900866200747434,0.025252961832307345,0.016207259495527815,4.790459690863392e-06,5.036154301793101e-07,8.504983293647999e-06,0.16176092624664307
2,2.0,-0.002729325719600516,-0.0010140308302403643,0.00298489804399517,0.0035418985231421203,0.0009965229250989533,0.002076061204511833,0.004083374932518632,0.0029116107927315486,0.0014887755873721307,1.0185489842472733e-05,2.688237916432087e-06,9.35534057333815e-06,0.9665262699127197
3,3.0,-0.003772998731575687,0.006770405651984112,0.10079043680787618,0.061950641888606175,0.10789078095743454,0.08184704515774731,0.1591952087811962,0.007750736230893821,0.13177609460540884,3.151993759075691e-06,6.685907510090358e-06,9.053484758680784e-06,0.0
4,4.0,-0.005866683396101416,0.005456315487591301,0.03190474108847796,0.017972889110286806,0.05971396626879138,0.07615625332708092,0.03887613096977431,0.008011825807531061,0.07186562505145297,2.6007438200083633e-06,2.3413956108887113e-06,2.1295298998236992e-05,0.0020097538363188505
5,5.0,0.0006066168733573884,-0.0013442957691751302,0.0013299318394139506,0.0015932737550293518,0.010407792133373095,0.004871285200343027,0.0016194451250290832,0.0014748271580304075,0.012691313311706365,3.0667521550701094e-07,6.689588553629548e-06,4.049759263826829e-06,0.8149664998054504
6,6.0,-0.0012350971122948556,-0.0007274365029774292,0.0007073088738769152,0.0018769081400625306,0.020259517366870806,0.014171314253061989,0.0026301443499547428,0.0014333976219678623,0.024498969482545412,1.6810135078507733e-06,5.306198011542935e-06,6.4627440262768055e-06,0.11935759335756302
7,7.0,-0.00460039087840729,0.007469331164942769,0.007135893502562533,0.00380676628873118,0.012534006349048964,0.010362966334916467,0.0018684653817183652,0.00877237164543992,0.015229420537107673,4.858104671521145e-06,4.0026487266683864e-06,3.961822098496683e-06,0.9124852418899536
8,8.0,0.019029327507213114,-0.007401469172782302,0.04824327925766542,0.00903141354858765,0.015091979619334112,0.01169893511232846,0.049442608195804184,0.020418056991115104,0.0015238884242431971,3.228058202567005e-06,4.742095594441369e-06,4.0836136924776235e-06,0.9825055599212646
9,9.0,-0.005653289234862224,0.006555209433678915,0.004814002723193558,0.006840571678741484,0.007110147966652514,0.004358944804671956,0.0025552285606132014,0.008656237629155183,0.0015454861348614592,4.471888818993205e-06,7.814700688622257e-06,7.121652563931152e-06,0.6539596915245056
10,10.0,-0.01711508525173342,-0.03207827539066047,0.01943130416143988,0.027924231845693398,0.07188395589154233,0.031351942739167867,0.011726850813310109,0.036358518880905424,0.07255850772865144,2.7693379379857924e-06,4.054906379917965e-06,3.040185339846666e-06,0.08605755865573883
11,11.0,-0.00018932278979397015,-0.01007573998245267,0.019060676197485003,0.009744629246632405,0.045000989573582555,0.04229399609981143,0.018926382873402786,0.010077518509669467,0.04960335593805011,3.21788508286193e-06,1.9507732538679905e-06,6.799829113020419e-06,0.13922028243541718
12,12.0,-0.003056269122291597,0.008942080791732546,0.0041403551466333835,0.00549327143316707,0.0017066909099991254,0.00974667946708918,0.004953086683222951,0.009449951842932599,0.008089746733813727,3.7267725900724073e-06,5.097641901139186e-07,8.746187779194323e-06,0.793380856513977
13,13.0,-0.0034627271820755427,-0.0038417087089256943,0.0051671072581557604,0.002283872011061458,0.016457950329786294,0.012446535293630035,0.0028751021858157417,0.005171963393308227,0.0251992699009193,1.0705451487122131e-05,1.1007166285345898e-05,5.243061743588455e-06,0.9482622146606445
14,14.0,0.0013614740963562714,0.008161662531559382,0.06904602537797541,0.08036219565503205,0.054781714099087726,0.07721871049209596,0.09742103608215197,0.008274439376423604,0.07529571286466046,3.459751228880266e-06,8.006090086457732e-07,4.912633070133447e-06,0.0009386569727212191
15,15.0,-0.0014958754333706079,-0.0023831913517689566,0.013305873830501044,0.01742699292815418,0.0036118825050642134,0.006746281637396959,0.020623105512294092,0.0028137598211837576,0.006300900721255954,4.0650420025872e-06,9.141202515831462e-07,5.5900143338551205e-06,0.7888246774673462
16,16.0,-0.0012617390897312073,-0.0035951704108982334,0.0021538691987007335,0.002703906750236927,0.02302926722247343,0.02345470071302782,0.0012297998396136598,0.003810149054033701,0.02635691531562772,2.3818070376318114e-06,2.7745185882558378e-06,1.0713032346094303e-05,0.012614082545042038
17,17.0,-0.00021711600811182848,0.002048616907183847,0.007273848871468544,0.0074026234245917364,0.02015301458432456,0.020799318642800862,0.010968951911375263,0.0020600899478852683,0.024231172927927674,6.8653354359125645e-06,4.066008451586136e-06,1.294717904707152e-05,0.03612405061721802
18,18.0,-0.001855463508618938,-0.0006727572673421668,0.0022217539248264766,0.0008455471849552905,0.0037151993765370895,0.002171519599610519,0.0011202371066213513,0.001973663388873138,0.004206008752464681,3.592961284094284e-06,5.9989556158212324e-06,4.335072116046447e-06,0.9860758185386658
19,19.0,-0.0004351893279282817,-0.0036355556292353222,0.004818871264997307,0.0017219466180407553,0.02272757861652123,0.011857865899856145,0.0038646506979566285,0.0036615098640325017,0.025610916570029663,5.0325009683381455e-06,4.465846236756136e-06,4.42805036271555e-06,0.6110641360282898
20,20.0,0.00028144575947346216,0.0030168985137630673,0.021720633121215433,0.006396180718449987,0.11526546841509741,0.08476050091105361,0.029200456053046896,0.0030299980788560574,0.14765309740440322,4.374895879349267e-06,1.1843186742139555e-05,1.2492043454828555e-05,0.0
21,21.0,-0.036145110115310984,-0.018886110056421504,0.02955099658761909,0.023173410472643673,0.03830347261477441,0.025358894841468502,0.0019293563466360668,0.04078178684549295,0.017071121063872544,9.768790783280204e-06,1.0889086529753398e-05,5.953199956220705e-06,0.17070990800857544
22,22.0,-0.0025156885207551732,0.0011851532182541636,0.004327414146852594,0.0006905557819219435,0.012452281407284443,0.005787808913117464,0.003511923206137906,0.002780876999113329,0.01631668191488587,7.4291230624668945e-06,8.625344208424189e-06,3.2646865584647284e-06,0.8527790307998657
23,23.0,0.008124567746023114,-0.020411292347545556,0.0549913810689841,0.03211453413677959,0.018524735972047613,0.011458176823485057,0.07734009620194819,0.02196882919858705,0.006512026818031771,4.913150632339456e-06,9.49153511600262e-06,8.545399846534635e-06,0.0006336644873954356
24,24.0,0.011216182085396974,-0.002827276999078362,0.008927193066215504,0.014634222131322806,0.006869638493186526,0.008880107348286027,0.023629934857815043,0.011567032281544716,0.0015691861692084337,2.0625061061526574e-06,1.0337689073604259e-05,5.46687797974642e-06,0.7597914934158325
25,25.0,-0.021260586614909326,0.014143111069773387,0.03897712782079145,0.00843086196680055,0.012578021123799982,0.014066792674684431,0.03199387001919224,0.025535076540750924,0.0067660134808323925,3.41796386475205e-06,3.7788885769961578e-06,9.195553484220716e-06,0.37989944219589233
26,26.0,-0.004372148470320939,0.0030750092311056364,0.008194434591173569,0.010566580313327937,0.030145270031485646,0.022823281185039904,0.016616952387167063,0.005345218799816767,0.03662859709496035,2.710805968552984e-06,3.5153003133407277e-06,4.767472535874042e-06,0.02206471934914589
27,27.0,0.0012471007095766445,-0.0010881496149289945,0.01071221572849263,0.007623374190103701,0.005286596274382868,0.002727514210773574,0.0158843611155732,0.0016550920712445846,0.00633963570290573,5.1530150169998986e-06,6.5094390028866755e-06,4.109503378911757e-06,0.9982311129570007
28,28.0,-0.00908264044994726,-0.0016544403092446376,0.006657170838965924,0.004789942511846254,0.0014391349276305545,0.009869479255682835,0.0010981566013933877,0.009232092410709051,0.008517588264674135,7.580085504406805e-06,6.78460467225679e-06,7.106901607142725e-06,0.7177566289901733
29,29.0,-0.000979711470084479,-0.001635159664159963,0.011824022610650589,0.004513603515321253,0.0018407559029506605,0.0017024476982042374,0.015603986215126814,0.0019061956069382844,0.00191346023774225,4.438326565354963e-06,8.589962687211462e-06,1.6433195931206664e-05,0.6363350749015808
30,30.0,0.009645590959887767,0.0041251992724248504,0.01148805945427818,0.019733564557091424,0.007165797185663867,0.005151874140654312,0.0231415962992269,0.010490695591936845,0.0010328754354979668,6.999732438903508e-06,2.480772948963373e-06,3.466858855932394e-06,0.9928194880485535
31,31.0,-0.0020220096099374525,-0.0021173209417084983,0.0008909320990198254,0.003039437330677846,0.020495284282808467,0.01363157993827618,0.0020375625833475206,0.0029277245145123833,0.028353978241941157,2.4853842100288716e-06,1.2294859044610783e-05,7.704363205372282e-06,0.025640521198511124
